audio,Transcription,flag,username,timestamp
flagged\audio\ce9e20eef71a8c56269d\aud_1.mp3,,,,2024-08-03 11:59:51.868068
flagged\audio\6dac4d375ffb7a98c8fc\aud_1.mp3,,,,2024-08-03 12:39:33.943229
flagged\audio\0ed2c4d96403015441b4\aud_1.mp3,,,,2024-08-03 12:45:05.635220
flagged\audio\34b251b52a1e5fe217d2\aud_1.mp3,,,,2024-08-03 12:51:23.511769
flagged\audio_file\8ffb36b119c85366dece\aud_1.mp3,Spanish,,,,,,2024-08-03 13:00:44.029408
flagged\audio_file\b5fd72f8a37f671fdda4\aud_1.mp3,Spanish,,,,,,2024-08-03 13:02:54.181098
flagged\audio_file\bbbc9093ba77f633fe27\aud_1.mp3,Spanish,,,,,,2024-08-03 13:02:56.027163
